datetime,signal,ticker,family,signals,threshold
2020-05-21 14:07:55,buy,AGNC,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ING,+CCI+ADOSC,2,2.0
2020-05-21 14:07:55,buy,ING,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ING,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ING,+AROON+BOP+ADOSC,1,2.0
2020-05-21 14:07:55,buy,AROC,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,AROC,+AROON+ADOSC,5,2.0
2020-05-21 14:07:55,buy,AROC,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,AROC,+BOP+MACD,1,38.0
2020-05-21 14:07:55,buy,AROC,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,AROC,+AROON+BOP+ADOSC,1,2.0
2020-05-21 14:07:55,buy,AL,+AROON+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,AL,+MACD+ADOSC,2,8.0
2020-05-21 14:07:55,buy,AL,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,NKE,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,NKE,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,NKE,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,NKE,+AROON+BOP+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,WMB,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,WMB,+AROON+BOP+MACD,1,2.0
2020-05-21 14:07:55,buy,WMB,+MACD,1,7.0
2020-05-21 14:07:55,buy,SGMS,+CCI,1,1.0
2020-05-21 14:07:55,buy,SGMS,+MACD,1,7.0
2020-05-21 14:07:55,buy,NWSA,+CCI,2,1.0
2020-05-21 14:07:55,buy,NWSA,+MACD,1,7.0
2020-05-21 14:07:55,buy,NWSA,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,BHC,+CCI,1,1.0
2020-05-21 14:07:55,buy,BHC,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,BHC,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,BHC,+AROON+BOP+CCI,3,2.0
2020-05-21 14:07:55,buy,LVS,+MACD+ADOSC,1,8.0
2020-05-21 14:07:55,buy,LVS,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,HUYA,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,HUYA,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,HUYA,+AROON,1,2.0
2020-05-21 14:07:55,buy,HUYA,+AROON+BOP+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,HUYA,+AROON+BOP+ADOSC,1,2.0
2020-05-21 14:07:55,buy,RDFN,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,DOC,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,DOC,+AROON+BOP+MACD,1,2.0
2020-05-21 14:07:55,buy,DOC,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,EBAY,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,EBAY,+AROON+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,EBAY,+BOP+CCI+ADOSC,2,21.0
2020-05-21 14:07:55,buy,EBAY,+AROON+BOP+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,CELH,+CCI,5,1.0
2020-05-21 14:07:55,buy,CELH,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,PAA,+AROON+CCI,3,1.0
2020-05-21 14:07:55,buy,PAA,+AROON+BOP+CCI,1,2.0
2020-05-21 14:07:55,buy,PAA,+AROON+BOP+CCI+MACD+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PAA,+BOP+CCI,1,16.0
2020-05-21 14:07:55,buy,PVG,+AROON+BOP+CCI+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,PVG,+AROON+CCI+ADOSC,9,1.0
2020-05-21 14:07:55,buy,PVG,+AROON+CCI+RSI+ADOSC,3,0
2020-05-21 14:07:55,buy,FEYE,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,FEYE,+ADOSC,1,15.0
2020-05-21 14:07:55,buy,FEYE,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,FEYE,+BOP+MACD+ADOSC,1,28.0
2020-05-21 14:07:55,buy,KHC,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,KHC,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,KHC,+MACD,1,7.0
2020-05-21 14:07:55,buy,KHC,+AROON+BOP+ADOSC,1,2.0
2020-05-21 14:07:55,buy,KHC,+AROON+BOP+CCI,1,2.0
2020-05-21 14:07:55,buy,BYD,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,BYD,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,KMX,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,MTG,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,MTG,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,MTG,+MACD+ADOSC,2,8.0
2020-05-21 14:07:55,buy,MTG,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,GFI,+AROON+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,GFI,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,GFI,+AROON+BOP+CCI+MACD+ADOSC,1,1.0
2020-05-21 14:07:55,buy,MAC,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,MAC,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,MAC,+AROON+BOP+MACD+ADOSC,2,2.0
2020-05-21 14:07:55,buy,EQM,+AROON+BOP+CCI+RSI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,EQM,+AROON+RSI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,EQM,+AROON+CCI+RSI+ADOSC,1,0
2020-05-21 14:07:55,buy,Z,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,Z,+MACD,1,7.0
2020-05-21 14:07:55,buy,SFIX,+AROON+CCI,2,1.0
2020-05-21 14:07:55,buy,SFIX,+MACD,1,7.0
2020-05-21 14:07:55,buy,OKE,+CCI+ADOSC,2,2.0
2020-05-21 14:07:55,buy,OKE,+CCI,1,1.0
2020-05-21 14:07:55,buy,OKE,+BOP+CCI+ADOSC,2,21.0
2020-05-21 14:07:55,buy,AIG,+CCI,1,1.0
2020-05-21 14:07:55,buy,AIG,+MACD,1,7.0
2020-05-21 14:07:55,buy,SIX,+CCI,2,1.0
2020-05-21 14:07:55,buy,SIX,+BOP+CCI+MACD,3,38.0
2020-05-21 14:07:55,buy,SIX,+BOP+CCI,1,16.0
2020-05-21 14:07:55,buy,CVET,+AROON+ADOSC,1,2.0
2020-05-21 14:07:55,buy,CVET,+BOP+MACD+ADOSC,3,28.0
2020-05-21 14:07:55,buy,CVET,+AROON+BOP+ADOSC,1,2.0
2020-05-21 14:07:55,buy,PHM,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,CRWD,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,CRWD,+BOP+MACD+ADOSC,3,28.0
2020-05-21 14:07:55,buy,FG,+CCI,1,1.0
2020-05-21 14:07:55,buy,FG,+MACD,3,7.0
2020-05-21 14:07:55,buy,ALLY,+MACD+ADOSC,2,8.0
2020-05-21 14:07:55,buy,MTDR,+AROON+CCI+ADOSC,6,1.0
2020-05-21 14:07:55,buy,MTDR,+AROON+ADOSC,2,2.0
2020-05-21 14:07:55,buy,MTDR,+AROON+BOP+CCI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,MTDR,+AROON+BOP+CCI+MACD+ADOSC,1,1.0
2020-05-21 14:07:55,buy,RL,+ADOSC,1,15.0
2020-05-21 14:07:55,buy,BCS,+CCI,1,1.0
2020-05-21 14:07:55,buy,BCS,+MACD,6,7.0
2020-05-21 14:07:55,buy,MBT,+MACD+ADOSC,2,8.0
2020-05-21 14:07:55,buy,MBT,+AROON+BOP+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,APPS,+AROON+CCI+ADOSC,8,1.0
2020-05-21 14:07:55,buy,NTLA,+AROON+BOP+CCI+RSI+ADOSC,3,1.0
2020-05-21 14:07:55,buy,NTLA,+AROON+RSI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,NTLA,+AROON+CCI+RSI+ADOSC,5,0
2020-05-21 14:07:55,buy,AMCR,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,AMCR,+BOP+CCI+ADOSC,1,21.0
2020-05-21 14:07:55,buy,TV,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,TV,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,ETRN,+CCI+ADOSC,1,2.0
2020-05-21 14:07:55,buy,ETRN,+AROON+BOP+CCI+RSI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,ETRN,+AROON+CCI+ADOSC,4,1.0
2020-05-21 14:07:55,buy,ETRN,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,ETRN,+AROON+BOP+CCI+MACD+ADOSC,1,1.0
2020-05-21 14:07:55,buy,AJG,+AROON+CCI+ADOSC,5,1.0
2020-05-21 14:07:55,buy,GRMN,+AROON+CCI+ADOSC,1,1.0
2020-05-21 14:07:55,buy,GRMN,+AROON+CCI,1,1.0
2020-05-21 14:07:55,buy,CLDR,+MACD,1,7.0
2020-05-21 14:07:55,buy,CLDR,+AROON+BOP+CCI+ADOSC,2,1.0
2020-05-21 14:07:55,buy,HP,+BOP+CCI+ADOSC,4,21.0
2020-05-21 14:07:55,buy,HP,+BOP+CCI+MACD+ADOSC,1,27.0
2020-05-21 14:07:55,buy,MGNX,nan,4,0
2020-05-21 14:07:55,buy,LYV,+AROON+CCI+ADOSC,4,1.0
